num_elements,num_element_nodes,x,y
2,2,0.000000,10.000000
2,2,0.500000,57.916667
2,2,1.000000,93.333333
3,2,0.000000,10.000000
3,2,0.333333,42.716049
3,2,0.666667,71.728395
3,2,1.000000,93.333333
4,2,0.000000,10.000000
4,2,0.250000,34.739583
4,2,0.500000,57.916667
4,2,0.750000,77.968750
4,2,1.000000,93.333333
5,2,0.000000,10.000000
5,2,0.200000,29.866667
5,2,0.400000,48.933333
5,2,0.600000,66.400000
5,2,0.800000,81.466667
5,2,1.000000,93.333333
6,2,0.000000,10.000000
6,2,0.166667,26.589506
6,2,0.333333,42.716049
6,2,0.500000,57.916667
6,2,0.666667,71.728395
6,2,0.833333,83.688272
6,2,1.000000,93.333333
7,2,0.000000,10.000000
7,2,0.142857,24.237123
7,2,0.285714,38.182702
7,2,0.428571,51.545190
7,2,0.571429,64.033042
7,2,0.714286,75.354713
7,2,0.857143,85.218659
7,2,1.000000,93.333333
8,2,0.000000,10.000000
8,2,0.125000,22.467448
8,2,0.250000,34.739583
8,2,0.375000,46.621094
8,2,0.500000,57.916667
8,2,0.625000,68.430990
8,2,0.750000,77.968750
8,2,0.875000,86.334635
8,2,1.000000,93.333333
2,3,0.000000,10.000000
2,3,0.250000,34.739583
2,3,0.500000,57.916667
2,3,0.750000,77.968750
2,3,1.000000,93.333333
3,3,0.000000,10.000000
3,3,0.166667,26.589506
3,3,0.333333,42.716049
3,3,0.500000,57.916667
3,3,0.666667,71.728395
3,3,0.833333,83.688272
3,3,1.000000,93.333333
4,3,0.000000,10.000000
4,3,0.125000,22.467448
4,3,0.250000,34.739583
4,3,0.375000,46.621094
4,3,0.500000,57.916667
4,3,0.625000,68.430990
4,3,0.750000,77.968750
4,3,0.875000,86.334635
4,3,1.000000,93.333333
5,3,0.000000,10.000000
5,3,0.100000,19.983333
5,3,0.200000,29.866667
5,3,0.300000,39.550000
5,3,0.400000,48.933333
5,3,0.500000,57.916667
5,3,0.600000,66.400000
5,3,0.700000,74.283333
5,3,0.800000,81.466667
5,3,0.900000,87.850000
5,3,1.000000,93.333333
6,3,0.000000,10.000000
6,3,0.083333,18.323688
6,3,0.166667,26.589506
6,3,0.250000,34.739583
6,3,0.333333,42.716049
6,3,0.416667,50.461034
6,3,0.500000,57.916667
6,3,0.583333,65.025077
6,3,0.666667,71.728395
6,3,0.750000,77.968750
6,3,0.833333,83.688272
6,3,0.916667,88.829090
6,3,1.000000,93.333333
7,3,0.000000,10.000000
7,3,0.071429,17.136783
7,3,0.142857,24.237123
7,3,0.214286,31.264577
7,3,0.285714,38.182702
7,3,0.357143,44.955053
7,3,0.428571,51.545190
7,3,0.500000,57.916667
7,3,0.571429,64.033042
7,3,0.642857,69.857872
7,3,0.714286,75.354713
7,3,0.785714,80.487123
7,3,0.857143,85.218659
7,3,0.928571,89.512877
7,3,1.000000,93.333333
8,3,0.000000,10.000000
8,3,0.062500,16.245931
8,3,0.125000,22.467448
8,3,0.187500,28.640137
8,3,0.250000,34.739583
8,3,0.312500,40.741374
8,3,0.375000,46.621094
8,3,0.437500,52.354329
8,3,0.500000,57.916667
8,3,0.562500,63.283691
8,3,0.625000,68.430990
8,3,0.687500,73.334147
8,3,0.750000,77.968750
8,3,0.812500,82.310384
8,3,0.875000,86.334635
8,3,0.937500,90.017090
8,3,1.000000,93.333333
